0.000000000000000e+00	-3.923012e-02	-1.226695e-01
1.440911999933770e-03	-6.278904e-02	-1.963539e-01
2.881823999867540e-03	-8.601462e-02	-2.689957e-01
4.322735999801310e-03	-1.089068e-01	-3.405949e-01
5.763647999735080e-03	-1.314657e-01	-4.111516e-01
7.204559999668850e-03	-1.536913e-01	-4.806656e-01
8.645471999602619e-03	-1.755835e-01	-5.491371e-01
1.008638399953639e-02	-1.971424e-01	-6.165660e-01
1.009638399953639e-02	-1.972910e-01	-6.170307e-01
1.155781257096490e-02	-2.188316e-01	-6.844028e-01
1.301924114239341e-02	-2.400626e-01	-7.508060e-01
1.448066971382192e-02	-2.609838e-01	-8.162406e-01
1.594209828525044e-02	-2.815953e-01	-8.807063e-01
1.740352685667895e-02	-3.018970e-01	-9.442034e-01
1.886495542810746e-02	-3.218890e-01	-1.006732e+00
2.032638399953597e-02	-3.415713e-01	-1.068291e+00
2.033638399953597e-02	-3.417050e-01	-1.068709e+00
2.638396983111826e-02	-4.201106e-01	-1.313936e+00
2.638396983171431e-02	-4.201106e-01	-1.313936e+00
2.638396983173294e-02	-4.201107e-01	-1.313936e+00
2.638396983177019e-02	-4.201107e-01	-1.313936e+00
2.638396983177950e-02	-4.201107e-01	-1.313936e+00
2.638396983179813e-02	-4.201107e-01	-1.313936e+00
2.638396983180279e-02	-4.201107e-01	-1.313936e+00
2.638396983181210e-02	-4.201107e-01	-1.313936e+00
2.638396983181443e-02	-4.201107e-01	-1.313936e+00
2.638396983181908e-02	-4.201107e-01	-1.313936e+00
2.638396983182839e-02	-4.201107e-01	-1.313936e+00
2.638396983184702e-02	-4.201107e-01	-1.313936e+00
2.638396983188427e-02	-4.201107e-01	-1.313936e+00
2.638396983195878e-02	-4.201107e-01	-1.313936e+00
2.638396983210779e-02	-4.201107e-01	-1.313936e+00
2.638396983240581e-02	-4.201107e-01	-1.313936e+00
2.638396983300186e-02	-4.201106e-01	-1.313936e+00
2.638396983419395e-02	-4.201106e-01	-1.313936e+00
2.638396983657814e-02	-4.201106e-01	-1.313936e+00
2.638396984134651e-02	-4.201106e-01	-1.313936e+00
2.638396986995674e-02	-4.201106e-01	-1.313936e+00
2.638397013698555e-02	-4.201104e-01	-1.313936e+00
2.638398125410329e-02	-4.201113e-01	-1.313936e+00
2.638399237122104e-02	-4.201109e-01	-1.313937e+00
2.638400348833879e-02	-4.201092e-01	-1.313937e+00
