time	I(L1)
0.000000000000000e+000	0.000000e+000
3.652000250545887e-011	-5.526662e-010
7.304000501091773e-011	-2.207816e-009
1.095600075163766e-010	-4.965451e-009
1.460800100218355e-010	-8.825569e-009
1.826000125272944e-010	-1.378817e-008
2.191200150327532e-010	-1.985326e-008
2.556400175382120e-010	-2.702083e-008
5.084799648264854e-010	-8.657281e-008
6.075989806477101e-010	-1.245663e-007
7.208778558719669e-010	-1.747275e-007
7.734422495514865e-010	-2.008737e-007
8.785710369105257e-010	-2.600415e-007
1.000000000000000e-009	-3.340321e-007
9.104803824470184e-007	-6.022680e-004
1.819960764894037e-006	-1.193952e-003
2.729441147341055e-006	-1.775386e-003
3.638921529788074e-006	-2.346569e-003
4.548401912235091e-006	-2.907503e-003
5.457882294682110e-006	-3.458186e-003
6.367362677129126e-006	-3.998620e-003
9.622571010462457e-006	-5.839188e-003
1.287777934379579e-005	-7.493283e-003
1.613298767712912e-005	-8.932650e-003
1.938819601046245e-005	-1.013523e-002
2.264340434379578e-005	-1.108466e-002
2.589861267712911e-005	-1.177041e-002
2.915382101046244e-005	-1.218778e-002
3.240902934379577e-005	-1.233782e-002
3.566423767712909e-005	-1.222703e-002
3.891944601046242e-005	-1.186713e-002
4.217465434379575e-005	-1.127453e-002
4.542986267712907e-005	-1.046989e-002
4.868507101046240e-005	-9.477509e-003
5.194027934379573e-005	-8.324694e-003
5.519548767712906e-005	-7.041090e-003
5.845069601046238e-005	-5.657985e-003
6.170590434379571e-005	-4.207596e-003
6.496111267712904e-005	-2.722372e-003
6.821632101046237e-005	-1.234314e-003
7.147152934379569e-005	2.256700e-004
7.472673767712902e-005	1.628369e-003
7.798194601046235e-005	2.946810e-003
8.123715434379567e-005	4.156735e-003
8.449236267712900e-005	5.237009e-003
8.774757101046233e-005	6.169941e-003
9.100277934379566e-005	6.941527e-003
9.425798767712898e-005	7.541609e-003
9.751319601046231e-005	7.963946e-003
1.007684043437956e-004	8.206200e-003
1.040236126771290e-004	8.269845e-003
1.072788210104623e-004	8.160001e-003
1.105340293437956e-004	7.885193e-003
1.137892376771290e-004	7.457055e-003
1.170444460104623e-004	6.889976e-003
1.202996543437956e-004	6.200702e-003
1.235548626771289e-004	5.407905e-003
1.268100710104623e-004	4.531728e-003
1.300652793437956e-004	3.593313e-003
1.333204876771289e-004	2.614331e-003
1.365756960104622e-004	1.616507e-003
1.398309043437956e-004	6.211790e-004
1.430861126771289e-004	-3.511397e-004
1.463413210104622e-004	-1.281150e-003
1.495965293437955e-004	-2.151124e-003
1.528517376771289e-004	-2.945216e-003
1.561069460104622e-004	-3.649722e-003
1.593621543437955e-004	-4.253285e-003
1.626173626771289e-004	-4.747050e-003
1.658725710104622e-004	-5.124751e-003
1.691277793437955e-004	-5.382753e-003
1.723829876771288e-004	-5.520027e-003
1.756381960104622e-004	-5.538084e-003
1.788934043437955e-004	-5.440844e-003
1.821486126771288e-004	-5.234476e-003
1.854038210104621e-004	-4.927185e-003
1.886590293437955e-004	-4.528970e-003
1.919142376771288e-004	-4.051349e-003
1.951694460104621e-004	-3.507073e-003
1.984246543437955e-004	-2.909810e-003
2.016798626771288e-004	-2.273834e-003
2.049350710104621e-004	-1.613706e-003
2.081902793437954e-004	-9.439607e-004
2.114454876771288e-004	-2.788102e-004
2.147006960104621e-004	3.681421e-004
2.179559043437954e-004	9.841591e-004
2.212111126771287e-004	1.557603e-003
2.244663210104621e-004	2.078138e-003
2.277215293437954e-004	2.536894e-003
2.309767376771287e-004	2.926602e-003
2.342319460104621e-004	3.241681e-003
2.374871543437954e-004	3.478299e-003
2.407423626771287e-004	3.634384e-003
2.439975710104620e-004	3.709609e-003
2.472527793437954e-004	3.705330e-003
2.505079876771287e-004	3.624500e-003
2.537631960104621e-004	3.471551e-003
2.570184043437955e-004	3.252248e-003
2.602736126771288e-004	2.973523e-003
2.635288210104622e-004	2.643287e-003
2.667840293437955e-004	2.270233e-003
2.700392376771289e-004	1.863625e-003
2.732944460104622e-004	1.433092e-003
2.765496543437956e-004	9.884061e-004
2.798048626771289e-004	5.392846e-004
2.830600710104623e-004	9.518424e-005
2.863152793437956e-004	-3.348825e-004
2.895704876771290e-004	-7.425185e-004
2.928256960104624e-004	-1.120093e-003
2.960809043437957e-004	-1.460874e-003
2.993361126771291e-004	-1.759133e-003
3.025913210104624e-004	-2.010226e-003
3.058465293437958e-004	-2.210658e-003
3.091017376771291e-004	-2.358102e-003
3.123569460104625e-004	-2.451418e-003
3.156121543437958e-004	-2.490623e-003
3.188673626771292e-004	-2.476857e-003
3.221225710104625e-004	-2.412313e-003
3.253777793437959e-004	-2.300157e-003
3.286329876771292e-004	-2.144427e-003
3.318881960104626e-004	-1.949916e-003
3.351434043437960e-004	-1.722050e-003
3.383986126771293e-004	-1.466746e-003
3.416538210104627e-004	-1.190280e-003
3.449090293437960e-004	-8.991360e-004
3.481642376771294e-004	-5.998710e-004
3.514194460104627e-004	-2.989725e-004
3.546746543437961e-004	-2.728451e-006
3.579298626771294e-004	2.828963e-004
3.611850710104628e-004	5.523718e-004
3.644402793437961e-004	8.007013e-004
