time	I(L1)
0.000000000000000e+000	0.000000e+000
3.566419725085916e-011	-7.836642e-010
7.132839450171831e-011	-3.128678e-009
1.069925917525775e-010	-7.035042e-009
1.426567890034366e-010	-1.250275e-008
1.783209862542958e-010	-1.953182e-008
2.139851835051549e-010	-2.812223e-008
2.496493807560140e-010	-3.827399e-008
4.896503245322066e-010	-1.210136e-007
5.199981124476149e-010	-1.348633e-007
5.806936882784317e-010	-1.693579e-007
7.020848399400652e-010	-2.463839e-007
7.572176966767331e-010	-2.861072e-007
8.674834101500691e-010	-3.769928e-007
1.000000000000000e-009	-4.959853e-007
1.650633410658265e-008	-1.575057e-005
3.201266821316530e-008	-3.083348e-005
4.751900231974795e-008	-4.574471e-005
6.302533642633059e-008	-6.048427e-005
7.853167053291324e-008	-7.505214e-005
9.403800463949590e-008	-8.944834e-005
1.095443387460785e-007	-1.036729e-004
2.181019291511420e-007	-1.996851e-004
3.758514770154924e-007	-3.281940e-004
6.131743673286842e-007	-4.995739e-004
9.292443647564918e-007	-6.926701e-004
1.364657037069022e-006	-9.048946e-004
1.929639226113740e-006	-1.109235e-003
2.686102647586183e-006	-1.294083e-003
3.662665147586183e-006	-1.441042e-003
4.639227647586183e-006	-1.523746e-003
5.615790147586183e-006	-1.566503e-003
6.592352647586183e-006	-1.587462e-003
8.545477647586184e-006	-1.599113e-003
1.161467407615762e-005	-1.586841e-003
1.468387050472905e-005	-1.573827e-003
1.775306693330048e-005	-1.560071e-003
2.082226336187191e-005	-1.545574e-003
2.389145979044335e-005	-1.530335e-003
2.696065621901478e-005	-1.514354e-003
3.002985264758620e-005	-1.497631e-003
5.751311157615766e-005	-1.369043e-003
8.499637050472912e-005	-1.249623e-003
1.124796294333006e-004	-1.139371e-003
1.399628883618720e-004	-1.038289e-003
1.674461472904435e-004	-9.463740e-004
1.949294062190150e-004	-8.636280e-004
2.224126651475864e-004	-7.900505e-004
2.500010000000000e-004	-7.208143e-004
2.500020000000000e-004	-7.203110e-004
2.500488057142826e-004	-6.747777e-004
2.500956114285653e-004	-6.306717e-004
2.501424171428479e-004	-5.879929e-004
2.501892228571306e-004	-5.467414e-004
2.502360285714132e-004	-5.069172e-004
2.502828342856959e-004	-4.685202e-004
2.503296399999785e-004	-4.315505e-004
2.506573199999570e-004	-1.928987e-004
2.509671845298552e-004	-4.289639e-006
2.513968736873576e-004	2.056325e-004
2.517925295898696e-004	3.550759e-004
2.524313640191518e-004	5.314780e-004
2.530801143618257e-004	6.551555e-004
2.539849478704606e-004	7.632591e-004
2.549157324285729e-004	8.292148e-004
2.558922949285729e-004	8.666891e-004
2.568688574285729e-004	8.860793e-004
2.578454199285729e-004	8.953255e-004
2.597985449285729e-004	8.997357e-004
2.638443038571443e-004	8.895793e-004
2.678900627857157e-004	8.791482e-004
2.719358217142872e-004	8.684426e-004
2.759815806428586e-004	8.574622e-004
2.800273395714300e-004	8.462072e-004
2.840730985000015e-004	8.346776e-004
2.881188574285729e-004	8.228733e-004
3.156021163571444e-004	7.522204e-004
3.430853752857158e-004	6.866052e-004
3.705686342142873e-004	6.260275e-004
3.980518931428587e-004	5.704875e-004
4.255351520714302e-004	5.199851e-004
4.530184110000016e-004	4.745203e-004
4.805016699285731e-004	4.340931e-004
5.000000000000000e-004	4.068472e-004
5.000010000000000e-004	4.063450e-004
5.000478057142890e-004	3.608605e-004
5.000946114285780e-004	3.168033e-004
5.001414171428670e-004	2.741733e-004
5.001882228571560e-004	2.329706e-004
5.002350285714449e-004	1.931952e-004
5.002818342857339e-004	1.548471e-004
5.003286400000229e-004	1.179262e-004
5.006563200000458e-004	-1.205668e-004
5.009602419734676e-004	-3.025250e-004
5.015323659214057e-004	-5.667141e-004
5.020915431195786e-004	-7.539987e-004
5.029156821913303e-004	-9.365608e-004
5.037272456397641e-004	-1.049255e-003
5.047038081397641e-004	-1.126570e-003
5.056803706397641e-004	-1.168942e-003
5.066569331397641e-004	-1.190276e-003
5.076334956397641e-004	-1.200132e-003
5.105631831397641e-004	-1.202243e-003
5.380464420683355e-004	-1.099997e-003
5.655297009969071e-004	-1.004852e-003
5.930129599254785e-004	-9.168086e-004
6.204962188540500e-004	-8.358665e-004
6.479794777826214e-004	-7.620256e-004
6.754627367111929e-004	-6.952861e-004
7.029459956397643e-004	-6.356479e-004
7.096681391197979e-004	-6.216176e-004
7.163902825998317e-004	-6.078810e-004
7.231124260798653e-004	-5.944379e-004
7.298345695598990e-004	-5.812884e-004
7.365567130399326e-004	-5.684324e-004
7.432788565199664e-004	-5.558700e-004
7.500010000000000e-004	-5.436012e-004
7.500020000000001e-004	-5.431014e-004
7.500663376638760e-004	-4.812833e-004
7.501306753277520e-004	-4.217890e-004
7.501950129916279e-004	-3.646185e-004
7.502593506555037e-004	-3.097720e-004
7.503236883193797e-004	-2.572493e-004
7.503880259832556e-004	-2.070504e-004
7.504523636471316e-004	-1.591755e-004
7.507427732667567e-004	3.956549e-005
7.511162111652788e-004	2.494335e-004
7.515695460656652e-004	4.477140e-004
7.521768064010133e-004	6.421850e-004
7.528798491964550e-004	7.958553e-004
7.537447902666037e-004	9.144118e-004
7.547213527666037e-004	9.926523e-004
7.556979152666037e-004	1.035109e-003
7.566744777666037e-004	1.056686e-003
7.576510402666037e-004	1.066871e-003
7.596041652666037e-004	1.071427e-003
7.636499241951751e-004	1.059207e-003
7.676956831237466e-004	1.046689e-003
7.717414420523180e-004	1.033873e-003
7.757872009808894e-004	1.020759e-003
7.798329599094608e-004	1.007346e-003
7.838787188380323e-004	9.936364e-004
7.879244777666037e-004	9.796284e-004
7.889010402666037e-004	9.764533e-004
8.163842991951751e-004	8.926139e-004
8.438675581237464e-004	8.147522e-004
8.713508170523179e-004	7.428685e-004
8.988340759808893e-004	6.769625e-004
9.263173349094606e-004	6.170344e-004
9.538005938380320e-004	5.630842e-004
9.812838527666033e-004	5.151117e-004
9.999996555034403e-004	4.840381e-004
1.000000000000000e-003	4.840376e-004
