time	I(L1)
0.000000000000000e+000	0.000000e+000
3.566409685355423e-011	-7.836119e-010
7.132819370710846e-011	-3.128688e-009
1.069922905606627e-010	-7.035229e-009
1.426563874142169e-010	-1.250323e-008
1.783204842677711e-010	-1.953270e-008
2.139845811213254e-010	-2.812364e-008
2.496486779748795e-010	-3.827603e-008
4.896489186266151e-010	-1.210228e-007
5.199995186965290e-010	-1.348753e-007
5.807007188363568e-010	-1.693781e-007
7.021031191160125e-010	-2.464226e-007
7.571951994406888e-010	-2.861218e-007
8.673793600900413e-010	-3.769545e-007
1.000000000000000e-009	-4.960608e-007
6.307972154185172e-008	-6.157302e-005
1.251594430837034e-007	-1.219432e-004
1.872391646255552e-007	-1.816066e-004
2.493188861674069e-007	-2.405633e-004
3.113986077092586e-007	-2.988132e-004
3.734783292511103e-007	-3.563564e-004
4.355580507929620e-007	-4.131927e-004
8.701293636499149e-007	-7.964388e-004
1.491038749988232e-006	-1.299581e-003
2.427211565449840e-006	-1.975338e-003
3.403774065449840e-006	-2.588369e-003
4.380336565449840e-006	-3.111603e-003
5.356899065449840e-006	-3.555749e-003
6.333461565449840e-006	-3.931140e-003
7.310024065449840e-006	-4.246777e-003
8.286586565449839e-006	-4.510506e-003
9.263149065449840e-006	-4.729155e-003
1.023971156544984e-005	-4.908679e-003
1.121627406544984e-005	-5.054258e-003
1.316939906544984e-005	-5.261064e-003
1.512252406544985e-005	-5.379139e-003
1.707564906544985e-005	-5.430905e-003
2.000533656544985e-005	-5.420248e-003
2.195846156544985e-005	-5.360939e-003
2.391158656544985e-005	-5.290955e-003
2.586471156544986e-005	-5.210298e-003
2.781783656544986e-005	-5.118965e-003
2.977096156544986e-005	-5.016959e-003
3.172408656544987e-005	-4.904278e-003
3.367721156544986e-005	-4.780922e-003
4.023413120830701e-005	-4.383431e-003
4.679105085116416e-005	-4.011044e-003
5.334797049402132e-005	-3.663762e-003
5.990489013687846e-005	-3.341584e-003
6.646180977973562e-005	-3.044510e-003
7.301872942259277e-005	-2.772540e-003
7.957564906544990e-005	-2.525674e-003
8.599305977973562e-005	-2.309214e-003
9.241047049402135e-005	-2.108161e-003
9.882788120830707e-005	-1.922513e-003
1.052452919225928e-004	-1.752272e-003
1.116627026368785e-004	-1.597438e-003
1.180801133511642e-004	-1.458010e-003
1.244975240654499e-004	-1.333988e-003
1.309149347797357e-004	-1.219643e-003
1.373323454940214e-004	-1.113440e-003
1.437497562083071e-004	-1.015378e-003
1.501671669225928e-004	-9.254575e-004
1.565845776368786e-004	-8.436783e-004
1.630019883511643e-004	-7.700405e-004
1.694193990654500e-004	-7.045441e-004
1.758368097797357e-004	-6.441531e-004
1.822542204940214e-004	-5.880620e-004
1.886716312083072e-004	-5.362707e-004
1.950890419225929e-004	-4.887793e-004
2.015064526368786e-004	-4.455877e-004
2.079238633511643e-004	-4.066960e-004
2.143412740654500e-004	-3.721041e-004
2.194355206275286e-004	-3.464061e-004
2.245297671896072e-004	-3.222292e-004
2.296240137516857e-004	-2.995735e-004
2.347182603137643e-004	-2.784390e-004
2.398125068758429e-004	-2.588257e-004
2.449067534379215e-004	-2.407335e-004
2.500010000000000e-004	-2.241626e-004
2.500020000000000e-004	-2.236584e-004
2.500956171428510e-004	-1.315640e-004
2.501892342857020e-004	-4.104187e-005
2.502828514285530e-004	4.790787e-005
2.503764685714040e-004	1.352853e-004
2.504700857142550e-004	2.210903e-004
2.505637028571061e-004	3.053229e-004
2.506573199999570e-004	3.879832e-004
2.513126799999141e-004	9.346269e-004
2.522892424999141e-004	1.661936e-003
2.532658049999141e-004	2.293076e-003
2.542423674999141e-004	2.831405e-003
2.552189299999141e-004	3.289019e-003
2.561954924999141e-004	3.676458e-003
2.571720549999141e-004	4.002901e-003
2.581486174999141e-004	4.276347e-003
2.591251799999141e-004	4.503764e-003
2.601017424999141e-004	4.691221e-003
2.610783049999141e-004	4.844003e-003
2.620548674999141e-004	4.966717e-003
2.640079924999141e-004	5.137464e-003
2.659611174999141e-004	5.229722e-003
2.688908049999141e-004	5.263152e-003
2.718204924999141e-004	5.211758e-003
2.740526353570570e-004	5.124388e-003
2.762847782141998e-004	5.028658e-003
2.785169210713427e-004	4.924566e-003
2.807490639284856e-004	4.812113e-003
2.829812067856284e-004	4.691299e-003
2.852133496427713e-004	4.562124e-003
2.874454924999141e-004	4.424588e-003
2.938629032141998e-004	4.057390e-003
3.002803139284856e-004	3.714181e-003
3.066977246427713e-004	3.394960e-003
3.131151353570570e-004	3.099727e-003
3.195325460713427e-004	2.828483e-003
3.259499567856285e-004	2.581226e-003
3.323673674999142e-004	2.357958e-003
3.387847782141999e-004	2.155864e-003
3.452021889284856e-004	1.968155e-003
3.516195996427713e-004	1.794832e-003
3.580370103570570e-004	1.635893e-003
3.644544210713428e-004	1.491340e-003
3.708718317856285e-004	1.361173e-003
3.772892424999142e-004	1.245391e-003
3.837066532141999e-004	1.138640e-003
3.901240639284857e-004	1.039491e-003
3.965414746427714e-004	9.479415e-004
4.029588853570571e-004	8.639931e-004
4.093762960713428e-004	7.876453e-004
4.157937067856285e-004	7.188981e-004
4.222111174999142e-004	6.577516e-004
4.286285282141999e-004	6.013716e-004
4.350459389284857e-004	5.490057e-004
4.414633496427714e-004	5.006542e-004
4.478807603570571e-004	4.563169e-004
4.542981710713429e-004	4.159939e-004
4.607155817856286e-004	3.796852e-004
4.671329924999143e-004	3.473908e-004
4.718282792856408e-004	3.251826e-004
4.765235660713674e-004	3.042037e-004
4.812188528570939e-004	2.844539e-004
4.859141396428204e-004	2.659334e-004
4.906094264285469e-004	2.486422e-004
4.953047132142735e-004	2.325801e-004
5.000000000000000e-004	2.177472e-004
5.000010000000000e-004	2.172432e-004
5.000946171428637e-004	1.251573e-004
5.001882342857274e-004	3.464366e-005
5.002818514285910e-004	-5.429758e-005
5.003754685714548e-004	-1.416665e-004
5.004690857143185e-004	-2.274630e-004
5.005627028571822e-004	-3.116872e-004
5.006563200000458e-004	-3.943391e-004
5.013116800000917e-004	-9.409239e-004
5.022882425000917e-004	-1.668146e-003
5.032648050000917e-004	-2.299201e-003
5.042413675000917e-004	-2.837445e-003
5.052179300000917e-004	-3.294976e-003
5.061944925000917e-004	-3.682333e-003
5.071710550000917e-004	-4.008695e-003
5.081476175000917e-004	-4.282061e-003
5.091241800000917e-004	-4.509400e-003
5.101007425000917e-004	-4.696778e-003
5.110773050000917e-004	-4.849485e-003
5.120538675000917e-004	-4.972123e-003
5.140069925000917e-004	-5.142721e-003
5.159601175000917e-004	-5.234836e-003
5.188898050000917e-004	-5.268057e-003
5.218194925000917e-004	-5.216464e-003
5.240516353572346e-004	-5.128947e-003
5.262837782143774e-004	-5.033074e-003
5.285159210715203e-004	-4.928844e-003
5.307480639286631e-004	-4.816257e-003
5.329802067858060e-004	-4.695313e-003
5.352123496429488e-004	-4.566013e-003
5.374444925000917e-004	-4.428356e-003
5.438619032143774e-004	-4.060836e-003
5.502793139286631e-004	-3.717326e-003
5.566967246429489e-004	-3.397828e-003
5.631141353572346e-004	-3.102342e-003
5.695315460715203e-004	-2.830866e-003
5.759489567858060e-004	-2.583402e-003
5.823663675000917e-004	-2.359949e-003
5.887837782143774e-004	-2.157684e-003
5.952011889286631e-004	-1.969816e-003
6.016185996429490e-004	-1.796347e-003
6.080360103572347e-004	-1.637274e-003
6.144534210715204e-004	-1.492599e-003
6.208708317858061e-004	-1.362322e-003
6.272882425000918e-004	-1.246442e-003
6.337056532143775e-004	-1.139601e-003
6.401230639286632e-004	-1.040368e-003
6.465404746429490e-004	-9.487416e-004
6.529578853572347e-004	-8.647223e-004
6.593752960715204e-004	-7.883101e-004
6.657927067858061e-004	-7.195049e-004
6.722101175000918e-004	-6.583068e-004
6.786275282143775e-004	-6.018791e-004
6.850449389286632e-004	-5.494691e-004
6.914623496429490e-004	-5.010767e-004
6.978797603572347e-004	-4.567021e-004
7.042971710715204e-004	-4.163450e-004
7.107145817858062e-004	-3.800057e-004
7.171319925000919e-004	-3.476840e-004
7.218275650000787e-004	-3.254558e-004
7.265231375000657e-004	-3.044580e-004
7.312187100000525e-004	-2.846906e-004
7.359142825000394e-004	-2.661536e-004
7.406098550000262e-004	-2.488469e-004
7.453054275000132e-004	-2.327707e-004
7.500010000000000e-004	-2.179248e-004
7.500020000000001e-004	-2.174208e-004
7.500956171428637e-004	-1.253346e-004
7.501892342857275e-004	-3.482078e-005
7.502828514285912e-004	5.412069e-005
7.503764685714548e-004	1.414898e-004
7.504700857143185e-004	2.272866e-004
7.505637028571823e-004	3.115110e-004
7.506573200000459e-004	3.941631e-004
7.513126800000918e-004	9.407497e-004
7.522892425000918e-004	1.667974e-003
7.532658050000918e-004	2.299031e-003
7.542423675000918e-004	2.837278e-003
7.552189300000918e-004	3.294812e-003
7.561954925000918e-004	3.682170e-003
7.571720550000918e-004	4.008535e-003
7.581486175000918e-004	4.281904e-003
7.591251800000918e-004	4.509244e-003
7.601017425000918e-004	4.696624e-003
7.610783050000918e-004	4.849333e-003
7.620548675000918e-004	4.971974e-003
7.640079925000918e-004	5.142576e-003
7.659611175000918e-004	5.234694e-003
7.688908050000918e-004	5.267922e-003
7.718204925000918e-004	5.216334e-003
7.740526353572347e-004	5.128821e-003
7.762847782143775e-004	5.032952e-003
7.785169210715204e-004	4.928725e-003
7.807490639286632e-004	4.816142e-003
7.829812067858061e-004	4.695202e-003
7.852133496429489e-004	4.565905e-003
7.874454925000918e-004	4.428252e-003
7.893986175000918e-004	4.315590e-003
7.958160282143775e-004	3.954833e-003
8.022334389286632e-004	3.618124e-003
8.086508496429491e-004	3.305464e-003
8.150682603572348e-004	3.016852e-003
8.214856710715205e-004	2.752289e-003
8.279030817858062e-004	2.511775e-003
8.343204925000919e-004	2.295309e-003
8.407379032143776e-004	2.098580e-003
8.471553139286633e-004	1.915855e-003
8.535727246429491e-004	1.747134e-003
