time	I(L1)
7.249559674076124e-004	4.655591e-008
7.300712947885647e-004	4.135279e-008
7.351866221695171e-004	3.588551e-008
7.403019495504694e-004	3.015408e-008
7.454172769314217e-004	2.415849e-008
7.505326043123741e-004	1.789876e-008
7.556479316933264e-004	1.137487e-008
7.607632590742787e-004	4.586828e-009
7.686687650266596e-004	-2.395899e-009
7.765742709790404e-004	-7.658854e-009
7.844797769314213e-004	-1.120204e-008
7.923852828838022e-004	-1.302545e-008
8.002907888361831e-004	-1.312910e-008
8.081962947885639e-004	-1.151297e-008
8.161018007409448e-004	-8.177071e-009
8.333343333333330e-004	-2.345857e-009
8.333344223235100e-004	1.556084e-009
8.333345113136868e-004	1.107673e-008
8.333346003038638e-004	2.621607e-008
8.333346892940407e-004	4.697412e-008
8.333347782842177e-004	7.335088e-008
8.333348672743946e-004	1.053463e-007
8.333349562645716e-004	1.429605e-007
8.333353333333330e-004	3.316511e-007
8.336883504944657e-004	2.338818e-004
8.340413676555982e-004	4.636463e-004
8.343943848167309e-004	6.896252e-004
8.347474019778636e-004	9.118186e-004
8.351004191389963e-004	1.130226e-003
8.354534363001288e-004	1.344848e-003
8.358064534612615e-004	1.555685e-003
8.382776112960662e-004	2.947917e-003
8.415328196293995e-004	4.571917e-003
8.447880279627328e-004	5.943101e-003
8.480432362960661e-004	7.047386e-003
8.512984446293994e-004	7.891637e-003
8.545536529627327e-004	8.487161e-003
8.578088612960660e-004	8.849001e-003
8.610640696293993e-004	8.995228e-003
8.643192779627326e-004	8.946262e-003
8.675744862960659e-004	8.724205e-003
8.708296946293992e-004	8.352214e-003
8.740849029627325e-004	7.853935e-003
8.773401112960658e-004	7.252969e-003
8.805953196293991e-004	6.572413e-003
8.838505279627324e-004	5.834451e-003
8.871057362960657e-004	5.060012e-003
8.903609446293990e-004	4.268483e-003
8.936161529627323e-004	3.477499e-003
8.968713612960656e-004	2.702774e-003
9.001265696293989e-004	1.957995e-003
9.033817779627322e-004	1.254774e-003
9.066369862960655e-004	6.026354e-004
9.098921946293988e-004	9.054759e-006
9.131474029627321e-004	-5.204687e-004
9.164026112960654e-004	-9.823085e-004
9.196578196293987e-004	-1.374580e-003
9.229130279627320e-004	-1.696990e-003
9.261682362960653e-004	-1.950670e-003
9.294234446293986e-004	-2.138000e-003
9.326786529627319e-004	-2.262424e-003
9.359338612960652e-004	-2.328269e-003
9.391890696293985e-004	-2.340562e-003
9.424442779627318e-004	-2.304853e-003
9.456994862960651e-004	-2.227049e-003
9.489546946293984e-004	-2.113256e-003
9.522099029627317e-004	-1.969640e-003
9.554651112960650e-004	-1.802290e-003
9.587203196293983e-004	-1.617112e-003
9.619755279627316e-004	-1.419729e-003
9.652307362960649e-004	-1.215397e-003
9.684859446293982e-004	-1.008942e-003
9.717411529627315e-004	-8.047115e-004
9.749963612960648e-004	-6.065365e-004
9.782515696293982e-004	-4.177136e-004
9.815067779627316e-004	-2.409959e-004
9.847619862960650e-004	-7.859714e-005
9.880171946293984e-004	6.779396e-005
9.912724029627318e-004	1.969907e-004
9.945276112960652e-004	3.082776e-004
9.977828196293987e-004	4.013738e-004
1.001038027962732e-003	4.763915e-004
1.004293236296066e-003	5.337913e-004
1.007548444629399e-003	5.743353e-004
1.010803652962732e-003	5.990391e-004
1.014058861296066e-003	6.091245e-004
1.017314069629399e-003	6.059722e-004
1.020569277962733e-003	5.910777e-004
1.023824486296066e-003	5.660089e-004
1.027079694629399e-003	5.323665e-004
1.030334902962733e-003	4.917494e-004
1.033590111296066e-003	4.457222e-004
1.036845319629400e-003	3.957883e-004
1.040100527962733e-003	3.433661e-004
1.043355736296066e-003	2.897701e-004
1.046610944629400e-003	2.361963e-004
1.049866152962733e-003	1.837104e-004
1.053121361296067e-003	1.332414e-004
1.056376569629400e-003	8.557719e-005
1.059631777962733e-003	4.136484e-005
1.062886986296067e-003	1.112343e-006
1.066142194629400e-003	-3.480618e-005
1.069397402962734e-003	-6.614353e-005
1.072652611296067e-003	-9.277060e-005
1.075907819629401e-003	-1.146662e-004
1.079163027962734e-003	-1.319057e-004
1.082418236296067e-003	-1.446494e-004
1.085673444629401e-003	-1.531295e-004
1.088928652962734e-003	-1.576385e-004
1.092183861296068e-003	-1.585161e-004
1.095439069629401e-003	-1.561379e-004
1.098694277962734e-003	-1.509036e-004
1.101949486296068e-003	-1.432267e-004
1.105204694629401e-003	-1.335246e-004
1.108459902962735e-003	-1.222099e-004
1.111715111296068e-003	-1.096828e-004
1.114970319629401e-003	-9.632430e-005
1.118225527962735e-003	-8.249071e-005
1.121480736296068e-003	-6.850930e-005
1.124735944629402e-003	-5.467487e-005
1.127991152962735e-003	-4.124738e-005
1.131246361296068e-003	-2.845053e-005
1.134501569629402e-003	-1.647125e-005
1.137756777962735e-003	-5.459930e-006
1.141011986296069e-003	4.468608e-006
1.144267194629402e-003	1.323357e-005
1.147522402962735e-003	2.078610e-005
1.150777611296069e-003	2.710680e-005
1.154032819629402e-003	3.220296e-005
1.157288027962736e-003	3.610546e-005
1.160543236296069e-003	3.886568e-005
1.163798444629403e-003	4.055219e-005
1.167053652962736e-003	4.124756e-005
1.170308861296069e-003	4.104519e-005
1.173564069629403e-003	4.004626e-005
1.176819277962736e-003	3.835689e-005
1.180074486296070e-003	3.608550e-005
1.183329694629403e-003	3.334037e-005
1.186584902962736e-003	3.022749e-005
1.189840111296070e-003	2.684875e-005
1.193095319629403e-003	2.330028e-005
1.196350527962737e-003	1.967121e-005
1.199605736296070e-003	1.604264e-005
1.202860944629403e-003	1.248685e-005
1.206116152962737e-003	9.066879e-006
1.209371361296070e-003	5.836224e-006
1.212626569629404e-003	2.838816e-006
1.215881777962737e-003	1.091822e-007
1.219136986296070e-003	-2.327226e-006
1.222392194629404e-003	-4.453558e-006
1.225647402962737e-003	-6.260972e-006
1.228902611296071e-003	-7.747940e-006
1.232157819629404e-003	-8.919491e-006
1.235413027962738e-003	-9.786398e-006
1.238668236296071e-003	-1.036434e-005
1.241923444629404e-003	-1.067307e-005
1.245178652962738e-003	-1.073557e-005
1.248433861296071e-003	-1.057723e-005
1.251689069629405e-003	-1.022511e-005
1.254944277962738e-003	-9.707207e-006
1.258199486296071e-003	-9.051786e-006
1.261454694629405e-003	-8.286799e-006
1.264709902962738e-003	-7.439357e-006
1.267965111296072e-003	-6.535283e-006
1.271220319629405e-003	-5.598733e-006
1.274475527962738e-003	-4.651895e-006
1.277730736296072e-003	-3.714765e-006
1.280985944629405e-003	-2.804977e-006
1.284241152962739e-003	-1.937716e-006
1.287496361296072e-003	-1.125671e-006
1.290751569629405e-003	-3.790594e-007
1.294006777962739e-003	2.943116e-007
1.297261986296072e-003	8.889412e-007
1.300517194629406e-003	1.401494e-006
1.303772402962739e-003	1.830631e-006
1.307027611296073e-003	2.176824e-006
1.310282819629406e-003	2.442144e-006
1.313538027962739e-003	2.630055e-006
1.316793236296073e-003	2.745185e-006
1.320048444629406e-003	2.793116e-006
1.323303652962740e-003	2.780163e-006
1.326558861296073e-003	2.713175e-006
1.329814069629406e-003	2.599335e-006
1.333069277962740e-003	2.445983e-006
1.336324486296073e-003	2.260454e-006
1.339579694629407e-003	2.049928e-006
1.342834902962740e-003	1.821308e-006
1.349345319629407e-003	1.335384e-006
1.355855736296074e-003	8.487248e-007
1.359110944629407e-003	6.169757e-007
1.362366152962740e-003	3.980041e-007
1.365621361296074e-003	1.947933e-007
1.368876569629407e-003	9.689911e-009
1.372131777962741e-003	-1.555747e-007
1.375386986296074e-003	-2.998520e-007
1.378642194629407e-003	-4.225365e-007
1.381897402962741e-003	-5.235183e-007
1.385152611296074e-003	-6.031327e-007
1.388407819629408e-003	-6.621045e-007
1.391663027962741e-003	-7.014917e-007
1.394918236296075e-003	-7.226284e-007
1.398173444629408e-003	-7.270683e-007
1.401428652962741e-003	-7.165295e-007
1.404683861296075e-003	-6.928435e-007
1.407939069629408e-003	-6.579052e-007
1.411194277962742e-003	-6.136291e-007
1.414449486296075e-003	-5.619086e-007
1.420959902962742e-003	-4.433953e-007
1.423285051772266e-003	-3.971057e-007
1.425610200581790e-003	-3.514162e-007
1.427935349391313e-003	-3.063269e-007
1.430260498200837e-003	-2.618376e-007
1.432585647010361e-003	-2.179485e-007
1.434910795819885e-003	-1.746596e-007
1.437235944629409e-003	-1.319708e-007
1.440491152962742e-003	-7.692449e-008
1.443746361296076e-003	-2.630145e-008
1.447001569629409e-003	1.936759e-008
1.450256777962742e-003	5.970810e-008
1.453511986296076e-003	9.449234e-008
1.456767194629409e-003	1.236280e-007
1.460022402962743e-003	1.471454e-007
1.463277611296076e-003	1.651835e-007
1.466532819629410e-003	1.779758e-007
