6.329992290981299e-003	1.213938e+000
6.330119268848464e-003	1.213936e+000
6.330267235087246e-003	1.213934e+000
6.330462860409152e-003	1.213932e+000
6.330711464345080e-003	1.213928e+000
6.331077734734486e-003	1.213922e+000
6.331636290561983e-003	1.213913e+000
1.368644862676235e-002	1.101877e+000
2.104126096296272e-002	9.973316e-001
2.839607329916308e-002	9.002761e-001
3.575088563536345e-002	8.107106e-001
4.310569797156382e-002	7.286352e-001
5.046051030776418e-002	6.540499e-001
5.781532264396454e-002	5.869546e-001
6.452587870183073e-002	5.300309e-001
7.123643475969690e-002	4.767233e-001
7.794699081756309e-002	4.270320e-001
8.465754687542927e-002	3.809568e-001
9.136810293329546e-002	3.384978e-001
9.807865899116164e-002	2.996550e-001
1.047892150490278e-001	2.644284e-001
1.122061454287747e-001	2.279819e-001
1.196230758085215e-001	1.946457e-001
1.270400061882683e-001	1.641718e-001
1.344569365680151e-001	1.363319e-001
1.418738669477620e-001	1.109157e-001
1.492907973275088e-001	8.772932e-002
1.542354175806734e-001	7.342178e-002
1.591800378338379e-001	5.997625e-002
1.641246580870025e-001	4.734595e-002
1.690692783401670e-001	3.548660e-002
1.715415884667493e-001	2.983284e-002
1.740138985933316e-001	2.435628e-002
1.764862087199139e-001	1.905202e-002
1.789585188464961e-001	1.391531e-002
1.814308289730784e-001	8.941505e-003
1.839031390996607e-001	4.126103e-003
1.863754492262430e-001	-5.352815e-004
1.888477593528253e-001	-5.046915e-003
1.913200694794075e-001	-9.412951e-003
1.937923796059898e-001	-1.363743e-002
1.962646897325721e-001	-1.772427e-002
1.987369998591544e-001	-2.167732e-002
2.036816201123189e-001	-2.919677e-002
2.086262403654835e-001	-3.622437e-002
2.135708606186480e-001	-4.278716e-002
2.209877909983949e-001	-5.181550e-002
2.284047213781417e-001	-5.993608e-002
2.358216517578885e-001	-6.722327e-002
2.425322078157547e-001	-7.305831e-002
2.492427638736209e-001	-7.841411e-002
2.559533199314871e-001	-8.329067e-002
2.626638759893533e-001	-8.768800e-002
2.693744320472195e-001	-9.160610e-002
2.760849881050856e-001	-9.504496e-002
2.827955441629518e-001	-9.800458e-002
2.902124745426986e-001	-1.009576e-001
2.976294049224454e-001	-1.035073e-001
3.050463353021923e-001	-1.056878e-001
3.124632656819391e-001	-1.075310e-001
3.198801960616859e-001	-1.090659e-001
3.272971264414328e-001	-1.103193e-001
3.347140568211796e-001	-1.113160e-001
3.396586770743442e-001	-1.118490e-001
3.446032973275087e-001	-1.122843e-001
3.495479175806733e-001	-1.126278e-001
3.544925378338378e-001	-1.128851e-001
3.569648479604201e-001	-1.129830e-001
3.594371580870024e-001	-1.130614e-001
3.619094682135847e-001	-1.131208e-001
3.643817783401669e-001	-1.131618e-001
3.668540884667492e-001	-1.131851e-001
3.693263985933315e-001	-1.131911e-001
3.717987087199138e-001	-1.131805e-001
3.742710188464961e-001	-1.131537e-001
3.767433289730783e-001	-1.131114e-001
3.792156390996606e-001	-1.130539e-001
3.816879492262429e-001	-1.129818e-001
3.841602593528252e-001	-1.128956e-001
3.866325694794074e-001	-1.127957e-001
3.891048796059897e-001	-1.126826e-001
3.940494998591543e-001	-1.124186e-001
3.989941201123188e-001	-1.121069e-001
4.039387403654834e-001	-1.117506e-001
4.113556707452302e-001	-1.111393e-001
4.187726011249771e-001	-1.104441e-001
4.261895315047239e-001	-1.096736e-001
4.343128362063514e-001	-1.087341e-001
4.424361409079788e-001	-1.077430e-001
4.505594456096064e-001	-1.067005e-001
4.586827503112338e-001	-1.056066e-001
4.668060550128613e-001	-1.044612e-001
4.749293597144888e-001	-1.032643e-001
4.830526644161163e-001	-1.020160e-001
4.947078407271468e-001	-1.001751e-001
5.063630170381773e-001	-9.831413e-002
5.180181933492078e-001	-9.643307e-002
5.296733696602384e-001	-9.453193e-002
5.413285459712689e-001	-9.261070e-002
5.529837222822994e-001	-9.066940e-002
5.646388985933299e-001	-8.870801e-002
5.798259465137636e-001	-8.617517e-002
5.950129944341973e-001	-8.368098e-002
6.102000423546309e-001	-8.122545e-002
6.253870902750646e-001	-7.880857e-002
6.405741381954982e-001	-7.643036e-002
6.557611861159319e-001	-7.409080e-002
6.709482340363655e-001	-7.178989e-002
6.942585866584264e-001	-6.838134e-002
7.175689392804874e-001	-6.510377e-002
7.408792919025484e-001	-6.195720e-002
7.641896445246094e-001	-5.894162e-002
7.874999971466703e-001	-5.605703e-002
8.108103497687312e-001	-5.330343e-002
8.341207023907922e-001	-5.068082e-002
8.789754718302125e-001	-4.604611e-002
9.238302412696329e-001	-4.175629e-002
9.686850107090532e-001	-3.781138e-002
1.013539780148474e+000	-3.421135e-002
1.058394549587894e+000	-3.095622e-002
1.103249319027314e+000	-2.804599e-002
1.148104088466734e+000	-2.548065e-002
1.192958857906155e+000	-2.313313e-002
1.237813627345575e+000	-2.096301e-002
1.282668396784995e+000	-1.897028e-002
1.327523166224416e+000	-1.715494e-002
1.372377935663836e+000	-1.551700e-002
1.417232705103257e+000	-1.405646e-002
1.462087474542677e+000	-1.277331e-002
1.509414554108679e+000	-1.153677e-002
1.556741633674682e+000	-1.039762e-002
1.604068713240684e+000	-9.355874e-003
1.651395792806687e+000	-8.411522e-003
1.698722872372690e+000	-7.564566e-003
1.746049951938692e+000	-6.815007e-003
1.793377031504694e+000	-6.162844e-003
1.807151330781367e+000	-5.979282e-003
1.820925630058039e+000	-5.800816e-003
1.834699929334712e+000	-5.627445e-003
1.848474228611384e+000	-5.459169e-003
1.862248527888056e+000	-5.295988e-003
